objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,language,rights,rightsstatement,student_initials,GGOI,original_format,type,format,object_comments,group,display_template,filename,extension,box_num,folder_num,id_num,publish,object_thumb,object_location,reference_url
"1",,"LibLab Bear","AF","2024",,"yes",,,,,,,,,,,"Bear",,,,,,,,,,,,,"1",,,,,"AF",,,"InteractiveResource;3DObject",,,"model","3d_model",,"jpg",,,,,"/Images/bear.png","http://localhost:4000/Images/bear.png","http://localhost:4000/items/1.html"
"2","1",,,"2024",,,,,,,,,,,,,"Bear",,,,,,,,"Emily",,,,,,,,,,,,,"InteractiveResource;3DObject","model/mtl",,"artifact","3d_model_child",,"glb",,,,,"","http://localhost:4000/Models/bear.glb","http://localhost:4000/items/1.html#2"
"3","1",,,"2024",,,,,,,,,,,,,"Bear",,,,,,,,,,,,,,,,,,,,,"InteractiveResource;3DObject","model/obj",,"artifact","3d_model_child",,"glb",,,,,"","http://localhost:4000/Models/bear.glb","http://localhost:4000/items/1.html#3"
"4","1",,,"2024",,,,,,,,,,,,,"Bear",,,,,,,,,,,,,,,,,,,,,"InteractiveResource;3DObject","model/stl",,"artifact","3d_model_child",,"glb",,,,,"","http://localhost:4000/Models/bear.glb","http://localhost:4000/items/1.html#4"
"5","1",,,"2024",,,,,,,,,,,,,"Bear",,,,,,,,,,,,,,,,,,,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"glb",,,,,"","http://localhost:4000/Models/bear.glb","http://localhost:4000/items/1.html#5"
"6","1",,"AF","2024",,,,,,,,,,,,,"Bear",,,,,,,,,,,,,"1",,,,,"AF",,,"Image;StillImage","image/jpeg",,"multiple","artifact_image",,"png",,,,,"/Images/bear.png","http://localhost:4000/Images/bear.png","http://localhost:4000/items/1.html#6"
"7","1",,"AF","2024",,,,,,,,,,,,,"Bear",,,,,,,,,,,,,"1",,,,,"AF",,,"Image;StillImage","image/jpeg",,"artifact",,,"png",,,,,"/Images/bear.png","http://localhost:4000/Images/bear.png","http://localhost:4000/items/1.html#7"
"8",,"Peace Key from Reading, Pennsylvania","Do Ryu","2025",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,"DY",,,"Image;StillImage","image/jpeg",,"multiple","artifact_image",,"png",,,,,"/Images/Reading_CCFront.png","http://localhost:4000/Images/Reading_CCFront.png","http://localhost:4000/items/8.html"
"9","8",,,"2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact",,,"png",,,,,"/Images/Reading_CCBack.png","http://localhost:4000/Images/Reading_CCBack.png","http://localhost:4000/items/8.html#9"
"10",,"Peace Key from Elkhart, Indiana","Eve Umutoni","2025",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,"EU ",,,"Image;StillImage","image/jpeg",,"multiple","artifact_image",,"png",,,,,"/Images/Elkhart_CCFront.png","http://localhost:4000/Images/Elkhart_CCFront.png","http://localhost:4000/items/10.html"
"11","10",,,"2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact",,,"png ",,,,,"/Images/Elkhart_CCBack.png","http://localhost:4000/Images/Elkhart_CCBack.png","http://localhost:4000/items/10.html#11"
"12",,"Peace Key from Perrysburg, Ohio","RR","2025",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,"RR",,,"Image;StillImage","image/jpeg",,"multiple","artifact_image",,"png",,,,,"/Images/Perrysburg_CCFront.png","http://localhost:4000/Images/Perrysburg_CCFront.png","http://localhost:4000/items/12.html"
"13","12",,,"2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact",,,"png",,,,,"/Images/Perrysburg_CCBack.png","http://localhost:4000/Images/Perrysburg_CCBack.png","http://localhost:4000/items/12.html#13"
"14",,"Peace Key from Ann Arbor, Michigan","Do Ryu","2025",,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,"DY",,,"Image;StillImage","image/jpeg",,"multiple","artifact_image",,"png",,,,,"/Images/Reading_CCFront.png","http://localhost:4000/Images/Reading_CCFront.png","http://localhost:4000/items/14.html"
"15","14",,,"2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact",,,"png",,,,,"/Images/Reading_CCFront.png","http://localhost:4000/Images/Reading_CCFront.png","http://localhost:4000/items/14.html#15"
"16",,"&quot;Liberty&quot; Printing Block","DR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact","artifact_image",,"png",,,,,"",,"http://localhost:4000/items/16.html"
"17",,"Iraq War Protest Bus (Front)","DR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact","artifact_image",,"png",,,,,"",,"http://localhost:4000/items/17.html"
"18","17","Iraq War Protest Bus (Back)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact",,,"png",,,,,"",,"http://localhost:4000/items/17.html#18"
"19",,"Peace Key (Wooden)","DR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image;StillImage","image/jpeg",,"artifact","artifact_image",,"png",,,,,"",,"http://localhost:4000/items/19.html"

